Group G-1:,,,,
==================================================,,,,
,,,,
Team 1,,,,
--------------------------------------------------,,,,
1. 5002, Aarav Singh, CCDS, Male,4.02
4. 4555, Hana Yamada, SBS, Female,4.14
5. 3777, Isaac Robinson, SSS, Male,4.02
,,,,
Team 324,,,,
--------------------------------------------------,,,,
1. 4406, Hannah Lim, CoB (NBS), Female,4.03
2. 4512, Hao Chen, CEE, Female,4.01
3. 5100, Jacky Lau, SBS, Male,4.04
4. 4194, Jin Hui, EEE, Male,4.09
5. 5927, Liang Zhao, NIE, Male,4.22
,,,,
Team 325,,,,
--------------------------------------------------,,,,
1. 1876, Jonas Li, CoB (NBS), Male,4.19
2. 4081, Liam Collins, EEE, Male,4.05
3. 1517, Liang Zhao, SPMS, Male,4.22
4. 3680, Lin Yi, SoH, Female,4.11
5. 1431, Lucy Rogers, MSE, Female,4.26
,,,,
Team 326,,,,
--------------------------------------------------,,,,
1. 2911, Liang Wei, CoB (NBS), Male,4.08
2. 2817, Lyndon Torres, MAE, Male,4.04
3. 553, Lola Lee, SoH, Female,4.15
4. 1937, Maverick Brown, EEE, Male,4.12
5. 1748, Maya Shankar, CCEB, Female,4.19
,,,,
Team 327,,,,
--------------------------------------------------,,,,
1. 19, Maya Sarin, CoB (NBS), Female,4.03
2. 2855, Maya Teo, SoH, Female,4.25
3. 1675, Mina Qiu, CCDS, Female,4.03
4. 3198, Raymond Tan, MAE, Male,4.22
5. 1434, Wira Bin Fadli, CEE, Male,3.85
,,,,
Team 328,,,,
--------------------------------------------------,,,,
1. 3618, Mila Perez, CoB (NBS), Female,4.19
2. 781, Nur Fatima, NIE, Female,4.2
3. 1423, Nandan Yadav, CCDS, Male,4.2
4. 3842, Priti Singh, CCEB, Female,4.03
5. 1121, Milo Wong, CoB (NBS), Male,4
,,,,
Team 329,,,,
--------------------------------------------------,,,,
1. 3161, Neela Kaur, CoB (NBS), Female,4.14
2. 1148, Rebecca Chen, CCEB, Female,4.02
3. 2795, Rhea Verma, EEE, Female,4.01
4. 5421, Sophie Lee, WKW SCI, Female,3.92
5. 32, Sophie Ong, SSS, Female,4.02
,,,,
Team 330,,,,
--------------------------------------------------,,,,
1. 645, Xinyi Lim, SBS, Female,4.15
2. 4754, Yu Chen, CEE, Female,3.89
3. 3594, Luna Zhao, CoB (NBS), Female,4.52
4. 5069, Yuan Li, CCEB, Female,4.15
5. 274, Zoe Murphy, CCDS, Female,4.11
,,,,
Group G-34:,,,,
==================================================,,,,
,,,,
Team 331,,,,
--------------------------------------------------,,,,
1. 1587, Aditi Reddy, CCEB, Female,4.17
2. 1345, Angela Lee, EEE, Female,4.14
3. 1624, Aihua Li, SPMS, Male,4.2
4. 3659, Arjun Sharma, CCDS, Male,4.06
5. 3086, Arnav Mehta, NIE, Male,3.88
,,,,
Team 332,,,,
--------------------------------------------------,,,,
1. 3956, Asher Bell, ADM, Male,4.03
2. 1907, Bruno Alonzo, EEE, Male,4.26
3. 5412, Dewi Anjani, CCDS, Female,4.3
4. 6, Ellie Stewart, CoB (NBS), Female,4.2
5. 4843, Emily Liang, ASE, Female,4.14
,,,,
Team 333,,,,
--------------------------------------------------,,,,
1. 2881, Cynthia Handayani, EEE, Female,4.05
2. 1247, Dahlia Zhao, ADM, Female,4.06
3. 4989, Ethan Clark, CCEB, Male,3.97
4. 2629, Fiona Garcia, CEE, Female,4.01
5. 5444, Frankie Yip, NIE, Male,3.88
,,,,
Team 334,,,,
--------------------------------------------------,,,,
1. 101, Hao Ren, CoE, Male,4.19
2. 2635, Jin Wei Tan, CCDS, Male,4.15
3. 2250, Gina Tam, WKW SCI, Female,3.91
4. 232, Hafizah Binti Mohd, CCEB, Female,3.85
5. 4919, Ivy Yu, CoB (NBS), Female,4.19
,,,,
Team 335,,,,
--------------------------------------------------,,,,
1. 3154, Jessica Liu, CCEB, Female,4.01
2. 4368, Kaira Tan, SSS, Female,3.92
3. 4000, Li Wei, CCDS, Female,4.17
4. 38, Liam Zhao, CoE, Male,4.04
5. 2003, Matthew Morgan, SPMS, Male,4.08
,,,,
Team 336,,,,
--------------------------------------------------,,,,
1. 5851, Li Qiang, CCEB, Male,4.14
2. 739, Nash Clark, CEE, Male,4.08
3. 4010, Lily Li, CoE, Female,4.08
4. 3875, Mei Lin, CCDS, Female,3.94
5. 1778, Nadia Sari, SBS, Female,4.15
,,,,
Team 337,,,,
--------------------------------------------------,,,,
1. 5046, Nanami Nakamura, WKW SCI, Female,4.12
2. 2954, Rizwan Bin Mohd, EEE, Female,4.1
3. 2860, Nathan Lee, NIE, Male,4.19
4. 5564, Owen Cox, SPMS, Male,4.14
5. 2128, Rizwan Ahmad, CCDS, Male,4.02
,,,,
Team 338,,,,
--------------------------------------------------,,,,
1. 4932, Nitesh Singh, NIE, Male,4.2
2. 429, Samuel Wang, CoB (NBS), Male,4.03
3. 4573, Ruba Khan, CEE, Female,4.12
4. 3582, Sakshi Bhatia, EEE, Female,4.26
5. 2153, Takashi Tanaka, SPMS, Male,3.97
,,,,
Team 339,,,,
--------------------------------------------------,,,,
1. 3048, Tama Prabowo, SBS, Male,4
2. 2656, Siddharth Patel, CoB (NBS), Male,4.26
3. 722, Talia Wong, SSS, Female,3.91
4. 5364, Vanessa Lee, SPMS, Female,4.1
5. 1992, Victoria Ross, MAE, Female,4.02
,,,,
Team 340,,,,
--------------------------------------------------,,,,
1. 1396, Tina Li, SBS, Female,4.22
2. 2969, Zai Binti Mohd, SSS, Female,4.2
3. 4967, Xiang Li, SoH, Male,4.17
4. 864, Xiao Liu, ASE, Male,3.97
5. 1069, Zhen Yang, EEE, Male,4.18
,,,,
Group G-35:,,,,
==================================================,,,,
,,,,
Team 341,,,,
--------------------------------------------------,,,,
1. 1388, Alina Tan, CCDS, Female,4.05
2. 4826, Amira Khan, MAE, Female,4.08
3. 5124, Anika Patel, EEE, Female,3.85
4. 1975, Bodhi Yang, CoE, Male,4.05
5. 5301, Chao Xu, SoH, Male,4.06
,,,,
Team 342,,,,
--------------------------------------------------,,,,
1. 2928, Alyssa Ong, CCDS, Female,4.12
2. 4446, Elsa Binti Sulaiman, SSS, Female,4.3
3. 1127, Carter Bell, MAE, Male,4.09
4. 1896, Eko Supriyanto, NIE, Male,4.09
5. 940, Fangzhou, SoH, Female,4.2
,,,,
Team 343,,,,
--------------------------------------------------,,,,
1. 4445, Evelyn Wang, MAE, Female,4.1
2. 4053, Gemma Lee, SSS, Female,4
3. 3650, Huang Lei, EEE, Male,4.17
4. 3507, Ika Binti Jamal, CCEB, Female,4.2
5. 5403, Isaac Robinson, CoB (NBS), Male,4.27
,,,,
Team 344,,,,
--------------------------------------------------,,,,
1. 2912, Kieran Tan, CCDS, Male,4.03
2. 360, Leo Tan, EEE, Male,4.12
3. 5086, Isla Lin, MSE, Female,3.95
4. 2065, Katherine Diaz, ADM, Female,3.85
5. 4521, Laurel Wu, CCEB, Female,4.22
,,,,
Team 345,,,,
--------------------------------------------------,,,,
1. 5467, Lily Wong, SBS, Female,4.14
2. 57, Ling Xu, CEE, Female,4.06
3. 4604, Jianjun, EEE, Male,3.85
4. 3916, Luca Yang, CoE, Male,4.12
5. 1521, Miki Suzuki, SoH, Female,4.2
,,,,
Team 346,,,,
--------------------------------------------------,,,,
1. 404, Mei Ling, EEE, Female,4.2
2. 68, Minnie Zhang, SSS, Female,4.15
3. 526, Nicole Li, SPMS, Female,4.14
4. 5258, Noah Wong, CCDS, Male,4.15
5. 3711, Rohan Bhatt, SBS, Male,4.22
,,,,
Team 347,,,,
--------------------------------------------------,,,,
1. 3997, Mira Wong, EEE, Female,4.12
2. 5772, Peishan, CCDS, Female,4.15
3. 1917, Riya Joshi, CoB (NBS), Female,4.06
4. 2222, Talha Ali, CoE, Male,4.02
5. 1512, Yuan Feng, SBS, Male,4.18
,,,,
Team 348,,,,
--------------------------------------------------,,,,
1. 1676, Saba Qureshi, SoH, Female,4.11
2. 467, Samantha Nguyen, MAE, Female,4.22
3. 3002, Sana Iyer, CEE, Female,4.12
4. 1453, Taro Yamamoto, EEE, Male,4.15
5. 504, Zeke Murphy, CoB (NBS), Male,4.14
,,,,
Team 349,,,,
--------------------------------------------------,,,,
1. 3720, Shalini Gupta, CCDS, Female,4
2. 4407, Shiming, ADM, Female,4.05
3. 1029, Stella Lim, MAE, Female,4.06
4. 5838, Thomas Lee, EEE, Male,4.19
5. 3353, Zhi Qi Tan, CoE, Male,4.19
,,,,
Team 350,,,,
--------------------------------------------------,,,,
1. 773, Tran Thi Phuong, EEE, Female,4.16
2. 1384, Zara Abbas, CCDS, Female,4.06
3. 3796, Zhonghua, SSS, Female,4.2
4. 4353, Zain Karim, EEE, Male,4.12
5. 3069, Zhang Qiang, CCDS, Male,4.13
,,,,
Group G-36:,,,,
==================================================,,,,
,,,,
Team 351,,,,
--------------------------------------------------,,,,
1. 1219, Addison Cook, CCDS, Female,4
2. 3743, Aisha Noor, CCEB, Female,4.11
3. 5974, Adil Patel, SPMS, Male,4.15
4. 4165, Alvin Young, EEE, Male,4.18
5. 672, Angelina Chang, MAE, Female,4.07
,,,,
Team 352,,,,
--------------------------------------------------,,,,
1. 3761, Anisa Rahman, CoB (NBS), Female,3.95
2. 1780, Anna Yang, SoH, Female,3.94
3. 2540, Arvind Nair, CCDS, Male,4.26
4. 5933, Azlan Bin Rahim, EEE, Male,3.9
5. 1309, Benjamin Zhu, CoE, Male,4
,,,,
Team 353,,,,
--------------------------------------------------,,,,
1. 2573, Benjamin Huang, SoH, Male,4.12
2. 4805, Chris Evans, NIE, Male,4.08
3. 2202, Carmen Lim, CoB (NBS), Female,4.15
4. 2620, Chunxiu, EEE, Male,4
5. 2864, Emily Lee, CCDS, Female,3.89
,,,,
Team 354,,,,
--------------------------------------------------,,,,
1. 3240, Bo Wen Lim, SoH, Male,4.05
2. 5286, Dylan Nguyen, NIE, Male,4.04
3. 3712, Eliza Lin, CoB (NBS), Female,4.22
4. 590, Erik Yang, SPMS, Male,4.01
5. 4493, Hannah Moore, CCDS, Female,4.21
,,,,
Team 355,,,,
--------------------------------------------------,,,,
1. 4748, Hassan Raza, CEE, Male,4.14
2. 2021, Hugo Long, CoB (NBS), Male,4.26
3. 4246, Jae-Suk Jung, CCDS, Male,4.11
4. 5549, Layla Hughes, CCEB, Female,4.11
5. 3473, Leah Smith, MAE, Female,4.03
,,,,
Team 356,,,,
--------------------------------------------------,,,,
1. 653, Jasper Lim, CCEB, Male,4.02
2. 2042, Kevin Ross, SPMS, Male,4.09
3. 5332, Ella Lee, CoB (NBS), Female,3.91
4. 4305, Liam Davis, NIE, Male,4.12
5. 4109, Lila Chang, SBS, Female,3.9
,,,,
Team 357,,,,
--------------------------------------------------,,,,
1. 576, Marco Garcia, SSS, Male,4.1
2. 2176, Logan Kim, SPMS, Male,4.26
3. 2279, Maya Yusof, MAE, Female,4.12
4. 2299, Nguyen Van Thanh, CCDS, Male,4.05
5. 4209, Olivia Moore, CCEB, Female,3.87
,,,,
Team 358,,,,
--------------------------------------------------,,,,
1. 5756, Omar Peterson, CCDS, Male,4.12
2. 4966, Oliver Cheng, SoH, Male,4.26
3. 1252, Lily Zhang, SSS, Female,4.25
4. 4115, Rakesh Pillai, ADM, Male,3.86
5. 2552, Sanya Yadav, EEE, Female,4.12
,,,,
Team 359,,,,
--------------------------------------------------,,,,
1. 1705, Owen Mitchell, CCDS, Male,4.09
2. 2333, Robert Jones, EEE, Male,3.88
3. 2729, Ryder Brown, CCEB, Male,4.11
4. 176, Susan Tan, MAE, Female,4.03
5. 693, Yuki Nakamura, SBS, Female,4.03
,,,,
Team 360,,,,
--------------------------------------------------,,,,
1. 1454, Shreyas Nair, SPMS, Male,4.12
2. 3451, Samuel Nelson, WKW SCI, Male,4.27
3. 916, Vikash Wang, EEE, Female,4
4. 2832, Tama Prabowo, SPMS, Male,4.05
5. 4606, Xing Ying, EEE, Female,4.18
,,,,
Group G-37:,,,,
==================================================,,,,
,,,,
Team 361,,,,
--------------------------------------------------,,,,
1. 3887, Alya Farisha, CoB (NBS), Female,4.22
2. 1603, Amelia Clark, SSS, Female,4.17
3. 2078, Amina Zainal, EEE, Female,4.23
4. 326, Avery Lee, SBS, Male,4.03
5. 4722, Benjamin Lee, CCDS, Male,4.1
,,,,
Team 362,,,,
--------------------------------------------------,,,,
1. 3256, Asma Sheikh, CCEB, Female,4.2
2. 4217, Ember Chen, CoB (NBS), Female,4.06
3. 374, Bennett Yang, SPMS, Male,4.12
4. 56, Bruno Alonzo, MAE, Male,4
5. 5209, Caleb Bennett, EEE, Male,4.03
,,,,
Team 363,,,,
--------------------------------------------------,,,,
1. 2306, Cameron Tan, LKCMedicine, Male,4.11
2. 4960, Chengxian, MAE, Male,3.9
3. 198, Cory Tan, CCDS, Male,4.1
4. 3870, Erin Zhang, CoB (NBS), Female,4.09
5. 4170, Isabella Cheung, SBS, Female,4.04
,,,,
Team 364,,,,
--------------------------------------------------,,,,
1. 3606, Evelyn Carter, MAE, Female,4.14
2. 5869, Juliet Chen, SPMS, Female,4.19
3. 193, Gavin Wu, ASE, Male,4.02
4. 1820, Jasper Tan, SBS, Male,4.09
5. 4859, Jasper Wu, CoB (NBS), Male,4.09
,,,,
Team 365,,,,
--------------------------------------------------,,,,
1. 3855, Gordon Ho, MAE, Male,4.17
2. 5092, Jin Xiu Lim, CoB (NBS), Male,4.15
3. 1582, Kavita Iyer, SSS, Female,4.09
4. 1662, Jin Wei, CCEB, Female,4.52
5. 2375, Lisa Yang, EEE, Female,4.08
,,,,
Team 366,,,,
--------------------------------------------------,,,,
1. 5879, Kavya Joshi, CoB (NBS), Female,4.09
2. 4248, Megan Tsai, MSE, Female,4.18
3. 407, Kellan Baker, CCEB, Male,4.05
4. 294, Logan King, CEE, Male,3.9
5. 1502, Dante Ong, CoE, Male,4.97
,,,,
Team 367,,,,
--------------------------------------------------,,,,
1. 4220, Lily Liu, CoB (NBS), Female,4.22
2. 1282, Mia White, MAE, Female,4
3. 161, Min-Young Kim, LKCMedicine, Female,3.9
4. 2891, Rajesh Yadav, EEE, Male,4.22
5. 3147, Tran Van Phuc, CCDS, Male,4.11
,,,,
Team 368,,,,
--------------------------------------------------,,,,
1. 2372, Medi Prabowo, CoB (NBS), Male,4.05
2. 5590, Victor Wong, EEE, Male,4
3. 5799, Nisha Binti, MAE, Female,3.95
4. 2561, Nita Yuliana, SBS, Female,4.1
5. 93, Sara Tan, SSS, Female,4.06
,,,,
Team 369,,,,
--------------------------------------------------,,,,
1. 2689, Neha Yadav, CoB (NBS), Female,4.2
2. 188, Sophie Zhao, MAE, Female,4.18
3. 34, Theresa Tan, MSE, Female,4.3
4. 3631, Zac Johnson, WKW SCI, Male,4.19
5. 1216, Vera Kim, CCEB, Female,4.02
,,,,
Team 370,,,,
--------------------------------------------------,,,,
1. 3494, Nora Tan, CoB (NBS), Female,4.15
2. 339, Wenkai, CCEB, Female,4.05
3. 4235, Willa Ford, SSS, Female,4.09
4. 3164, Sophia Johnson, CCEB, Female,4.52
5. 637, Zara Binti Mohd, CoB (NBS), Female,3.9
,,,,
Group G-38:,,,,
==================================================,,,,
,,,,
Team 371,,,,
--------------------------------------------------,,,,
1. 3376, Andrew Wright, CCDS, Male,4.22
2. 1240, Benson Huang, WKW SCI, Male,4.2
3. 3321, Anis Binti Ahmad, CCEB, Female,4.1
4. 3493, Aoqin, CoB (NBS), Female,4.1
5. 3373, Bhavesh Gandhi, ADM, Male,4.2
,,,,
Team 372,,,,
--------------------------------------------------,,,,
1. 3839, Hunter Moore, ASE, Male,4.03
2. 5499, Ikram Tan, SBS, Male,4.01
3. 723, Dina Binti Omar, CoE, Female,4.25
4. 5672, Fatima Binti, CoB (NBS), Female,3.85
5. 3070, Layla Price, ADM, Female,4.15
,,,,
Team 373,,,,
--------------------------------------------------,,,,
1. 3760, Jett Chen, CoB (NBS), Male,4.16
2. 2358, Kaito Saito, SBS, Male,3.89
3. 2351, Li Wei, ADM, Male,4.05
4. 3436, Lina Binti Omar, SPMS, Female,4
5. 1611, Lina Zhang, CCEB, Female,4.05
,,,,
Team 374,,,,
--------------------------------------------------,,,,
1. 1811, Marcus Chen, NIE, Male,4.06
2. 2331, Ming Zhen Lim, CEE, Male,4.1
3. 4060, Misha Javed, CCEB, Female,4.15
4. 1327, Neela Joshi, CoB (NBS), Female,3.97
5. 4481, Nisha Kaur, MAE, Female,4.08
,,,,
Team 375,,,,
--------------------------------------------------,,,,
1. 3597, Nina Singh, CoB (NBS), Female,4.2
2. 3742, Nora Binti Rahman, EEE, Female,3.8
3. 4258, Pallavi Menon, SoH, Female,4.02
4. 4638, Phan Duc Minh, MAE, Male,3.87
5. 655, Rishi Reddy, NIE, Male,4.14
,,,,
Team 376,,,,
--------------------------------------------------,,,,
1. 2623, Noah Alonzo, CoB (NBS), Male,4.19
2. 4776, Shivam Reddy, CCDS, Male,4.14
3. 3965, Prisha Singh, NIE, Female,4.01
4. 4284, Ruby Chow, SSS, Female,4.03
5. 3922, Ruqaiya Ali, SoH, Female,4
,,,,
Team 377,,,,
--------------------------------------------------,,,,
1. 1835, Prisha Tan, CCDS, Female,4.19
2. 2608, Peyton James, CoB (NBS), Female,3.89
3. 5285, Sana Rani, MAE, Female,3.91
4. 5471, Stepan Aleksandrov, NIE, Male,4.18
5. 396, Wyatt Price, CCEB, Male,4.03
,,,,
Team 378,,,,
--------------------------------------------------,,,,
1. 4802, Sara Binti Kamar, CoB (NBS), Female,3.95
2. 3813, Simran Kaur, SPMS, Female,4.19
3. 1036, Sonia Irfan, CCEB, Female,4.2
4. 1307, Tanner Pineda, CCDS, Male,4.14
5. 3294, Tingting, EEE, Female,4.15
,,,,
Team 379,,,,
--------------------------------------------------,,,,
1. 1805, Tanya Lim, CCDS, Female,4.14
2. 508, Tiantian, CoB (NBS), Female,4.1
3. 4941, Vera Nikitina, SSS, Female,4.15
4. 2672, Zhi Hao Lim, CCEB, Male,4.3
5. 570, Ulysses Ramos, CCDS, Male,4.21
,,,,
Team 380,,,,
--------------------------------------------------,,,,
1. 649, Xena Chan, MAE, Female,4.1
2. 2850, Yuna Sato, SBS, Female,3.89
3. 1760, Tristan Smith, CCDS, Male,4.52
4. 316, Zainab Bukhari, CCDS, Female,4.19
5. 1358, Zainab Rashid, CCDS, Female,4.06
,,,,
Group G-39:,,,,
==================================================,,,,
,,,,
Team 381,,,,
--------------------------------------------------,,,,
1. 3093, Aakash Kumar, ASE, Male,4.2
2. 5260, Aman Ali, CCDS, Male,4.14
3. 4100, Ananya Sinha, MAE, Female,4.02
4. 5506, Anita Wong, WKW SCI, Female,4.1
5. 2523, Ariana Bennett, CCEB, Female,4.04
,,,,
Team 382,,,,
--------------------------------------------------,,,,
1. 1510, Alexander Black, ASE, Male,4.15
2. 3392, Ethan Wilson, SPMS, Male,4.08
3. 1487, Bingli, CCDS, Female,4
4. 977, Elena Chen, MAE, Female,4.06
5. 3319, Ella Harris, SSS, Female,4.18
,,,,
Team 383,,,,
--------------------------------------------------,,,,
1. 4304, Emilia Tsang, ADM, Female,4.14
2. 2394, Emiko Takahashi, SSS, Female,4.26
3. 5823, Faye Wong, LKCMedicine, Female,4.11
4. 687, Freddie Chan, SBS, Male,4.08
5. 3132, Griffin Yang, CoB (NBS), Male,4.18
,,,,
Team 384,,,,
--------------------------------------------------,,,,
1. 5621, Hannah Wong, ASE, Female,4.08
2. 2186, Kiran Nadar, CoB (NBS), Female,4.1
3. 2851, Kirk Lee, SSS, Male,4.1
4. 1322, Liam Wong, CEE, Male,4.2
5. 3037, Michael Nelson, CCEB, Male,4.2
,,,,
Team 385,,,,
--------------------------------------------------,,,,
1. 3598, Jinlong, CoB (NBS), Male,4.1
2. 4185, Mukti Bin Ibrahim, CoE, Male,3.8
3. 3642, Lily Wang, SSS, Female,4.05
4. 5759, Nancy Lee, NIE, Female,4.04
5. 5321, Noor Fatima, CCDS, Female,4.04
,,,,
Team 386,,,,
--------------------------------------------------,,,,
1. 60, Layla Tsai, CoB (NBS), Female,3.95
2. 1070, Nadia Wong, SSS, Female,4.11
3. 2310, Nicolas Brown, CoE, Male,4.09
4. 4133, Pooja Bhatt, CCEB, Female,4.08
5. 4280, Quincy Turner, EEE, Male,4.22
,,,,
Team 387,,,,
--------------------------------------------------,,,,
1. 2278, Matthew Scott, CoB (NBS), Male,4.16
2. 3232, Saifullah Malik, LKCMedicine, Male,4.04
3. 4724, Rani Kaur, SBS, Female,4.18
4. 52, Saanvi Kapoor, NIE, Female,3.87
5. 2634, Sariyah Binti Rahman, MAE, Female,4.2
,,,,
Team 388,,,,
--------------------------------------------------,,,,
1. 4114, Mia Thompson, CoB (NBS), Female,4.14
2. 4784, Saswati Roy, SBS, Female,4
3. 5789, Savannah Scott, SoH, Female,4.03
4. 1573, Ulysses Wong, MAE, Male,4.04
5. 4771, Vikram Seth, CEE, Male,4.13
,,,,
Team 389,,,,
--------------------------------------------------,,,,
1. 5597, Rohit Sharma, CoB (NBS), Male,4.03
2. 1752, Shan Li, CCEB, Female,4.1
3. 2497, Sofia Turner, SBS, Female,4.04
4. 5689, Victoria Kwan, WKW SCI, Female,4.14
5. 2502, Xiu Ying Tan, EEE, Female,4
,,,,
Team 390,,,,
--------------------------------------------------,,,,
1. 218, Tran Thi Lan, CoB (NBS), Female,4.05
2. 2811, Zainab Iqbal, CCEB, Female,4
3. 1853, Xue Ling Tan, EEE, Female,3.8
4. 3657, Zara Chen, SSS, Female,4.12
5. 4811, Zoe Perez, EEE, Female,3.9
,,,,
Group G-40:,,,,
==================================================,,,,
,,,,
Team 391,,,,
--------------------------------------------------,,,,
1. 3348, Aiko Yoshikawa, CoB (NBS), Female,4.17
2. 3172, Akiko Suzuki, SoH, Female,4.14
3. 480, Ava Martinez, CCDS, Female,4.08
4. 2992, Chandan Sharma, CCEB, Male,4.03
5. 3270, Elliot Bautista, SSS, Male,4.17
,,,,
Team 392,,,,
--------------------------------------------------,,,,
1. 1736, Aiyun, CoB (NBS), Female,4
2. 1360, Claudia Kim, SBS, Female,4.04
3. 5632, Daria Tan, EEE, Female,4.09
4. 5874, Dinesh Rao, CCDS, Male,4.2
5. 3390, Fedor Baranov, CoE, Male,3.91
,,,,
Team 393,,,,
--------------------------------------------------,,,,
1. 5241, Duy Pham, CoE, Female,4.06
2. 5390, Elena Tan, SSS, Female,4.17
3. 3534, Elijah Turner, CoB (NBS), Male,4.25
4. 2577, Felicia Tan, CEE, Female,3.92
5. 2486, Finn Roberts, SoH, Male,4.12
,,,,
Team 394,,,,
--------------------------------------------------,,,,
1. 2046, Emily Wu, CoE, Female,4.02
2. 3146, Hua Mei, NIE, Female,4.04
3. 1089, Harrison Mendoza, MAE, Male,4.15
4. 5921, Hudson Walker, CCDS, Male,4.07
5. 2943, Indira Das, CoB (NBS), Female,4.02
,,,,
Team 395,,,,
--------------------------------------------------,,,,
1. 1368, Isaac Hall, CEE, Male,4.13
2. 2083, Isaac Tan, WKW SCI, Male,4.05
3. 3394, Jacob Parker, SoH, Male,4.01
4. 108, Jia Zhang, ADM, Female,3.9
5. 4810, Lola Li, SSS, Female,4.52
,,,,
Team 396,,,,
--------------------------------------------------,,,,
1. 4482, Karim Khan, MAE, Male,4.01
2. 3087, Rizal Ramadhan, SoH, Male,4.25
3. 1595, Maya Chan, SPMS, Female,4.14
4. 4713, Maya Mohd, CCEB, Female,4.11
5. 1523, Rita Lee, EEE, Female,4.03
,,,,
Team 397,,,,
--------------------------------------------------,,,,
1. 5745, Mukesh Kumar, MAE, Male,4.14
2. 3115, Ryan Lewis, EEE, Male,4.1
3. 1233, Saira Bukhari, CEE, Female,4.04
4. 4101, Saira Malik, CCDS, Female,4.12
5. 449, Tari Hapsari, CoB (NBS), Female,4.25
,,,,
Team 398,,,,
--------------------------------------------------,,,,
1. 2478, Stella Li, CCDS, Female,4.02
2. 5693, Sierra Murphy, EEE, Female,3.94
3. 2296, Tam Nguyen, MAE, Female,4.52
4. 1988, Tam Vo, CEE, Male,4.12
5. 5870, Xavier Hall, SoH, Male,4.12
,,,,
Team 399,,,,
--------------------------------------------------,,,,
1. 3691, Tian Zhang, CCDS, Male,4.14
2. 155, Yogi Setiawan, ASE, Male,4.15
3. 222, Wani Binti Amin, CEE, Female,3.9
4. 109, Willow Chan, CoE, Female,3.93
5. 4282, Yasmin Binti Aziz, SBS, Female,4.1
,,,,
Team 400,,,,
--------------------------------------------------,,,,
1. 2789, Yuri Chekhov, EEE, Male,4.19
2. 208, Zhao Yu Tan, CEE, Male,3.9
3. 618, Yun Ling Ng, MAE, Male,4.52
4. 1105, Zora Villanueva, CoB (NBS), Female,4.11
5. 5174, Zara Adams, MAE, Female,4.02
,,,,
Group G-41:,,,,
==================================================,,,,
,,,,
Team 401,,,,
--------------------------------------------------,,,,
1. 278, Aarav Singh, MAE, Male,4.09
2. 5877, Adeel Ahmed, CEE, Male,4.08
3. 3010, Ananya Verma, EEE, Female,4.12
4. 2919, Anushka Singh, SSS, Female,4.05
5. 4848, Areeba Ahmad, CoB (NBS), Female,4.17
,,,,
Team 402,,,,
--------------------------------------------------,,,,
1. 3107, Caleb Lee, CCDS, Male,4.04
2. 3065, Daniel Alonzo, CoB (NBS), Male,4.14
3. 970, Celeste Ong, CEE, Female,4
4. 2751, Desmond Tan, SBS, Male,4.21
5. 1429, Isha Rai, EEE, Female,4.11
,,,,
Team 403,,,,
--------------------------------------------------,,,,
1. 2886, Elena Fedorova, SBS, Female,4.1
2. 1209, Farah Ali, CCDS, Female,4.01
3. 147, Hilda Andayani, CoB (NBS), Female,4.2
4. 5107, Jayden Richardson, SPMS, Male,4.04
5. 870, Khairul Bin Jamil, CCEB, Male,4.2
,,,,
Team 404,,,,
--------------------------------------------------,,,,
1. 1995, Jaya Kapoor, CoB (NBS), Female,4.15
2. 543, Hana Kim, CCDS, Female,4.26
3. 3005, Jenna Lim, MAE, Female,4.15
4. 5716, Leo Flores, ASE, Male,4.14
5. 5873, Mason Garcia, CoE, Male,4.17
,,,,
Team 405,,,,
--------------------------------------------------,,,,
1. 2627, Lana Wang, EEE, Female,3.95
2. 4885, Leah Wang, MAE, Female,4.03
3. 4545, Feng Gao, CCDS, Male,4.25
4. 5112, Lily Roberts, MSE, Female,4.19
5. 3487, Min-Seok Lee, CCEB, Male,4.12
,,,,
Team 406,,,,
--------------------------------------------------,,,,
1. 313, Lina Zhao, SPMS, Female,4
2. 622, Ling Yu, CEE, Female,4.19
3. 3660, Nikhil Joshi, CoB (NBS), Male,4.2
4. 4685, Phoebe Wang, CCDS, Female,3.95
5. 1214, Riley Brown, EEE, Male,3.94
,,,,
Team 407,,,,
--------------------------------------------------,,,,
1. 5771, Priya Mehta, SBS, Female,4.14
2. 3022, Rebecca Tan, MAE, Female,4.16
3. 4979, Owen Tan, CoB (NBS), Male,3.88
4. 2823, Riley Yang, LKCMedicine, Female,4.03
5. 1249, Rishabh Sharma, EEE, Male,4.19
,,,,
Team 408,,,,
--------------------------------------------------,,,,
1. 1604, Ryoji Yamamoto, EEE, Male,4.2
2. 499, Samuel Lin, CCDS, Male,4.12
3. 3565, Riley Campbell, CoB (NBS), Female,3.89
4. 371, Samantha Murphy, SPMS, Female,4.26
5. 318, Samia Bukhari, LKCMedicine, Female,4.17
,,,,
Team 409,,,,
--------------------------------------------------,,,,
1. 3962, Siddharth Rao, CCDS, Male,4.1
2. 3802, Shahid Waseem, CoE, Male,3.89
3. 2038, Tariq Bin Ali, ADM, Male,4.15
4. 1794, Xia Yan, CEE, Female,4.11
5. 1363, Xing Chen, MAE, Female,3.85
,,,,
Team 410,,,,
--------------------------------------------------,,,,
1. 1954, Vinay Nair, CEE, Male,4.15
2. 4242, Victor Leonov, SoH, Male,3.91
